strain,seqid,source,type,start,end,length,strand,score,phase,gene_id,name,product,locus_tag,gene_biotype,attributes
H37Rv,NC_000962.3,RefSeq,gene,1,1524,1524,+,,,gene-Rv0001,dnaA,,Rv0001,protein_coding,ID=gene-Rv0001;Dbxref=GeneID:885041;Name=dnaA;experiment=DESCRIPTION:Mutation analysis%2C gene expression[PMID: 10375628];gbkey=Gene;gene=dnaA;gene_biotype=protein_coding;locus_tag=Rv0001
H37Rv,NC_000962.3,RefSeq,CDS,1,1524,1524,+,,0,cds-NP_214515.1,NP_214515.1,chromosomal replication initiator protein DnaA,Rv0001,protein_coding,"ID=cds-NP_214515.1;Parent=gene-Rv0001;Dbxref=GenBank:NP_214515.1,GeneID:885041;Name=NP_214515.1;experiment=DESCRIPTION:Mutation analysis%2C gene expression[PMID: 10375628],EXISTENCE:Mass spectrometry[PMID:15525680],EXISTENCE:Mass spectrometry[PMID:21085642],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=dnaA;inference=protein motif:PROSITE:PS01008;locus_tag=Rv0001;product=chromosomal replication initiator protein DnaA;protein_id=NP_214515.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,2052,3260,1209,+,,,gene-Rv0002,dnaN,,Rv0002,protein_coding,ID=gene-Rv0002;Dbxref=GeneID:887092;Name=dnaN;gbkey=Gene;gene=dnaN;gene_biotype=protein_coding;locus_tag=Rv0002
H37Rv,NC_000962.3,RefSeq,CDS,2052,3260,1209,+,,0,cds-NP_214516.1,NP_214516.1,DNA polymerase III subunit beta,Rv0002,protein_coding,"ID=cds-NP_214516.1;Parent=gene-Rv0002;Dbxref=GenBank:NP_214516.1,GeneID:887092;Name=NP_214516.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=dnaN;locus_tag=Rv0002;product=DNA polymerase III subunit beta;protein_id=NP_214516.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,3280,4437,1158,+,,,gene-Rv0003,recF,,Rv0003,protein_coding,ID=gene-Rv0003;Dbxref=GeneID:887089;Name=recF;gbkey=Gene;gene=recF;gene_biotype=protein_coding;locus_tag=Rv0003
H37Rv,NC_000962.3,RefSeq,CDS,3280,4437,1158,+,,0,cds-NP_214517.1,NP_214517.1,DNA replication/repair protein RecF,Rv0003,protein_coding,"ID=cds-NP_214517.1;Parent=gene-Rv0003;Dbxref=GenBank:NP_214517.1,GeneID:887089;Name=NP_214517.1;Note=single-stranded DNA-binding protein;experiment=EXISTENCE:Mass spectrometry[PMID:15525680],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=recF;inference=protein motif:PROSITE:PS00618;locus_tag=Rv0003;product=DNA replication/repair protein RecF;protein_id=NP_214517.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,4434,4997,564,+,,,gene-Rv0004,Rv0004,,Rv0004,protein_coding,ID=gene-Rv0004;Dbxref=GeneID:887088;Name=Rv0004;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0004
H37Rv,NC_000962.3,RefSeq,CDS,4434,4997,564,+,,0,cds-NP_214518.1,NP_214518.1,hypothetical protein,Rv0004,protein_coding,"ID=cds-NP_214518.1;Parent=gene-Rv0004;Dbxref=GenBank:NP_214518.1,GeneID:887088;Name=NP_214518.1;gbkey=CDS;locus_tag=Rv0004;product=hypothetical protein;protein_id=NP_214518.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,5240,7267,2028,+,,,gene-Rv0005,gyrB,,Rv0005,protein_coding,ID=gene-Rv0005;Dbxref=GeneID:887081;Name=gyrB;experiment=DESCRIPTION:Mutation analysis[PMID:8031045];gbkey=Gene;gene=gyrB;gene_biotype=protein_coding;locus_tag=Rv0005
H37Rv,NC_000962.3,RefSeq,CDS,5240,7267,2028,+,,0,cds-NP_214519.2,NP_214519.2,DNA gyrase subunit B,Rv0005,protein_coding,"ID=cds-NP_214519.2;Parent=gene-Rv0005;Dbxref=GenBank:NP_214519.2,GeneID:887081;Name=NP_214519.2;Note=Belongs to the type II topoisomerase family.;experiment=DESCRIPTION:Mutation analysis[PMID:8031045],EXISTENCE:Mass spectrometry[PMID:15525680],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=gyrB;inference=protein motif:PROSITE:PS00177;locus_tag=Rv0005;product=DNA gyrase subunit B;protein_id=NP_214519.2;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,7302,9818,2517,+,,,gene-Rv0006,gyrA,,Rv0006,protein_coding,ID=gene-Rv0006;Dbxref=GeneID:887105;Name=gyrA;experiment=DESCRIPTION:Mutation analysis[PMID:8031045];gbkey=Gene;gene=gyrA;gene_biotype=protein_coding;locus_tag=Rv0006
H37Rv,NC_000962.3,RefSeq,CDS,7302,9818,2517,+,,0,cds-NP_214520.1,NP_214520.1,DNA gyrase subunit A,Rv0006,protein_coding,"ID=cds-NP_214520.1;Parent=gene-Rv0006;Dbxref=GenBank:NP_214520.1,GeneID:887105;Name=NP_214520.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],DESCRIPTION:Mass spectrometry[PMID:21920479],DESCRIPTION:Mutation analysis[PMID:8031045],EXISTENCE:Mass spectrometry[PMID:20429878];gbkey=CDS;gene=gyrA;inference=protein motif:PROSITE:PS00018;locus_tag=Rv0006;product=DNA gyrase subunit A;protein_id=NP_214520.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,9914,10828,915,+,,,gene-Rv0007,Rv0007,,Rv0007,protein_coding,ID=gene-Rv0007;Dbxref=GeneID:885982;Name=Rv0007;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0007
H37Rv,NC_000962.3,RefSeq,CDS,9914,10828,915,+,,0,cds-NP_214521.1,NP_214521.1,membrane protein,Rv0007,protein_coding,"ID=cds-NP_214521.1;Parent=gene-Rv0007;Dbxref=GenBank:NP_214521.1,GeneID:885982;Name=NP_214521.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C2004 PMID:14766927).;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0007;product=membrane protein;protein_id=NP_214521.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,10887,10960,74,+,,,gene-Rvnt01,ileT,,Rvnt01,tRNA,ID=gene-Rvnt01;Dbxref=GeneID:2700464;Name=ileT;gbkey=Gene;gene=ileT;gene_biotype=tRNA;locus_tag=Rvnt01
H37Rv,NC_000962.3,RefSeq,tRNA,10887,10960,74,+,,,rna-Rvnt01,ileT,tRNA-Ile,Rvnt01,protein_coding,ID=rna-Rvnt01;Parent=gene-Rvnt01;Dbxref=GeneID:2700464;Note=ileT%2C tRNA-Ile%2C anticodon gat%2C length %3D 74;anticodon=(pos:10921..10923);codons=33;gbkey=tRNA;gene=ileT;locus_tag=Rvnt01;product=tRNA-Ile
H37Rv,NC_000962.3,RefSeq,gene,11112,11184,73,+,,,gene-Rvnt02,alaT,,Rvnt02,tRNA,ID=gene-Rvnt02;Dbxref=GeneID:2700469;Name=alaT;gbkey=Gene;gene=alaT;gene_biotype=tRNA;locus_tag=Rvnt02
H37Rv,NC_000962.3,RefSeq,tRNA,11112,11184,73,+,,,rna-Rvnt02,alaT,tRNA-Ala,Rvnt02,protein_coding,ID=rna-Rvnt02;Parent=gene-Rvnt02;Dbxref=GeneID:2700469;Note=alaT%2C tRNA-Ala%2C anticodon tgc%2C length %3D 73;anticodon=(pos:11145..11147);codons=54;gbkey=tRNA;gene=alaT;locus_tag=Rvnt02;product=tRNA-Ala
H37Rv,NC_000962.3,RefSeq,gene,11874,12311,438,-,,,gene-Rv0008c,Rv0008c,,Rv0008c,protein_coding,ID=gene-Rv0008c;Dbxref=GeneID:887085;Name=Rv0008c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0008c
H37Rv,NC_000962.3,RefSeq,CDS,11874,12311,438,-,,0,cds-NP_214522.1,NP_214522.1,cell wall synthesis protein CwsA,Rv0008c,protein_coding,"ID=cds-NP_214522.1;Parent=gene-Rv0008c;Dbxref=GenBank:NP_214522.1,GeneID:887085;Name=NP_214522.1;experiment=DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:23002219],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0008c;product=cell wall synthesis protein CwsA;protein_id=NP_214522.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,12468,13016,549,+,,,gene-Rv0009,ppiA,,Rv0009,protein_coding,ID=gene-Rv0009;Dbxref=GeneID:887087;Name=ppiA;gbkey=Gene;gene=ppiA;gene_biotype=protein_coding;gene_synonym=cfp22;locus_tag=Rv0009
H37Rv,NC_000962.3,RefSeq,CDS,12468,13016,549,+,,0,cds-NP_214523.1,NP_214523.1,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,Rv0009,protein_coding,"ID=cds-NP_214523.1;Parent=gene-Rv0009;Dbxref=GenBank:NP_214523.1,GeneID:887087;Name=NP_214523.1;Note=alternate gene name: cfp22%3B belongs to the cyclophilin-type PPIase family.;experiment=DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:15479239],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=ppiA;locus_tag=Rv0009;product=iron-regulated peptidyl-prolyl cis-trans isomerase PpiA;protein_id=NP_214523.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,13133,13558,426,-,,,gene-Rv0010c,Rv0010c,,Rv0010c,protein_coding,ID=gene-Rv0010c;Dbxref=GeneID:887082;Name=Rv0010c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0010c
H37Rv,NC_000962.3,RefSeq,CDS,13133,13558,426,-,,0,cds-NP_214524.1,NP_214524.1,membrane protein,Rv0010c,protein_coding,"ID=cds-NP_214524.1;Parent=gene-Rv0010c;Dbxref=GenBank:NP_214524.1,GeneID:887082;Name=NP_214524.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C 2004 PMID:14766927).;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0010c;product=membrane protein;protein_id=NP_214524.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,13714,13995,282,-,,,gene-Rv0011c,Rv0011c,,Rv0011c,protein_coding,ID=gene-Rv0011c;Dbxref=GeneID:887074;Name=Rv0011c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0011c
H37Rv,NC_000962.3,RefSeq,CDS,13714,13995,282,-,,0,cds-NP_214525.1,NP_214525.1,cell division protein CrgA,Rv0011c,protein_coding,"ID=cds-NP_214525.1;Parent=gene-Rv0011c;Dbxref=GenBank:NP_214525.1,GeneID:887074;Name=NP_214525.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C 2004 PMID:14766927).;experiment=DESCRIPTION:Gene expression%2C mutation analysis%2C protein localization[PMID:21531798],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0011c;product=cell division protein CrgA;protein_id=NP_214525.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,14089,14877,789,+,,,gene-Rv0012,Rv0012,,Rv0012,protein_coding,ID=gene-Rv0012;Dbxref=GeneID:887083;Name=Rv0012;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0012
H37Rv,NC_000962.3,RefSeq,CDS,14089,14877,789,+,,0,cds-NP_214526.1,NP_214526.1,membrane protein,Rv0012,protein_coding,"ID=cds-NP_214526.1;Parent=gene-Rv0012;Dbxref=GenBank:NP_214526.1,GeneID:887083;Name=NP_214526.1;experiment=EXISTENCE:Mass spectrometry[PMID:15525680],EXISTENCE:Mass spectrometry[PMID:17443846];gbkey=CDS;locus_tag=Rv0012;product=membrane protein;protein_id=NP_214526.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,14914,15612,699,+,,,gene-Rv0013,trpG,,Rv0013,protein_coding,ID=gene-Rv0013;Dbxref=GeneID:885955;Name=trpG;gbkey=Gene;gene=trpG;gene_biotype=protein_coding;gene_synonym=pabA;locus_tag=Rv0013
H37Rv,NC_000962.3,RefSeq,CDS,14914,15612,699,+,,0,cds-YP_177615.1,YP_177615.1,anthranilate synthase component II,Rv0013,protein_coding,"ID=cds-YP_177615.1;Parent=gene-Rv0013;Dbxref=GenBank:YP_177615.1,GeneID:885955;Name=YP_177615.1;Note=glutamine amidotransferase%3B note that previously known as pabA.;experiment=EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=trpG;inference=protein motif:PROSITE:PS00606;locus_tag=Rv0013;product=anthranilate synthase component II;protein_id=YP_177615.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,15590,17470,1881,-,,,gene-Rv0014c,pknB,,Rv0014c,protein_coding,ID=gene-Rv0014c;Dbxref=GeneID:887072;Name=pknB;gbkey=Gene;gene=pknB;gene_biotype=protein_coding;locus_tag=Rv0014c
