strain,seqid,source,type,start,end,length,strand,score,phase,gene_id,name,product,locus_tag,gene_biotype,attributes
CDC1551,NC_002755.2,RefSeq,gene,1,1524,1524,+,,,gene-MT_RS00005,dnaA,,MT_RS00005,protein_coding,ID=gene-MT_RS00005;Name=dnaA;gbkey=Gene;gene=dnaA;gene_biotype=protein_coding;locus_tag=MT_RS00005;old_locus_tag=MT0001
CDC1551,NC_002755.2,Protein Homology,CDS,1,1524,1524,+,,0,cds-WP_003400253.1,WP_003400253.1,chromosomal replication initiator protein DnaA,MT_RS00005,protein_coding,"ID=cds-WP_003400253.1;Parent=gene-MT_RS00005;Dbxref=GenBank:WP_003400253.1;Name=WP_003400253.1;Ontology_term=GO:0006275,GO:0003688,GO:0005524,GO:0043565;gbkey=CDS;gene=dnaA;go_function=DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA,sequence-specific DNA binding|0043565||IEA;go_process=regulation of DNA replication|0006275||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214515.1;locus_tag=MT_RS00005;product=chromosomal replication initiator protein DnaA;protein_id=WP_003400253.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,2052,3260,1209,+,,,gene-MT_RS00010,dnaN,,MT_RS00010,protein_coding,ID=gene-MT_RS00010;Name=dnaN;gbkey=Gene;gene=dnaN;gene_biotype=protein_coding;locus_tag=MT_RS00010;old_locus_tag=MT0002
CDC1551,NC_002755.2,Protein Homology,CDS,2052,3260,1209,+,,0,cds-WP_003400271.1,WP_003400271.1,DNA polymerase III subunit beta,MT_RS00010,protein_coding,"ID=cds-WP_003400271.1;Parent=gene-MT_RS00010;Dbxref=GenBank:WP_003400271.1;Name=WP_003400271.1;Ontology_term=GO:0006260,GO:0003677,GO:0003887,GO:0009360;gbkey=CDS;gene=dnaN;go_component=DNA polymerase III complex|0009360||IEA;go_function=DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA;go_process=DNA replication|0006260||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214516.1;locus_tag=MT_RS00010;product=DNA polymerase III subunit beta;protein_id=WP_003400271.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,3280,4437,1158,+,,,gene-MT_RS00015,recF,,MT_RS00015,protein_coding,ID=gene-MT_RS00015;Name=recF;gbkey=Gene;gene=recF;gene_biotype=protein_coding;locus_tag=MT_RS00015;old_locus_tag=MT0003
CDC1551,NC_002755.2,Protein Homology,CDS,3280,4437,1158,+,,0,cds-WP_003899768.1,WP_003899768.1,DNA replication/repair protein RecF,MT_RS00015,protein_coding,"ID=cds-WP_003899768.1;Parent=gene-MT_RS00015;Dbxref=GenBank:WP_003899768.1;Name=WP_003899768.1;Note=All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.;Ontology_term=GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524;gbkey=CDS;gene=recF;go_function=single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA;go_process=DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214517.1;locus_tag=MT_RS00015;product=DNA replication/repair protein RecF;protein_id=WP_003899768.1;transl_table=11"
CDC1551,NC_002755.2,RefSeq,gene,4434,4997,564,+,,,gene-MT_RS00020,MT_RS00020,,MT_RS00020,protein_coding,ID=gene-MT_RS00020;Name=MT_RS00020;gbkey=Gene;gene_biotype=protein_coding;locus_tag=MT_RS00020;old_locus_tag=MT0004
CDC1551,NC_002755.2,Protein Homology,CDS,4434,4997,564,+,,0,cds-WP_003899769.1,WP_003899769.1,DNA replication protein DciA,MT_RS00020,protein_coding,ID=cds-WP_003899769.1;Parent=gene-MT_RS00020;Dbxref=GenBank:WP_003899769.1;Name=WP_003899769.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214518.1;locus_tag=MT_RS00020;product=DNA replication protein DciA;protein_id=WP_003899769.1;transl_table=11
CDC1551,NC_002755.2,RefSeq,gene,5240,7267,2028,+,,,gene-MT_RS00025,gyrB,,MT_RS00025,protein_coding,ID=gene-MT_RS00025;Name=gyrB;gbkey=Gene;gene=gyrB;gene_biotype=protein_coding;locus_tag=MT_RS00025;old_locus_tag=MT0005
CDC1551,NC_002755.2,Protein Homology,CDS,5240,7267,2028,+,,0,cds-WP_003917863.1,WP_003917863.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,MT_RS00025,protein_coding,"ID=cds-WP_003917863.1;Parent=gene-MT_RS00025;Dbxref=GenBank:WP_003917863.1;Name=WP_003917863.1;Ontology_term=GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694;gbkey=CDS;gene=gyrB;go_component=chromosome|0005694||IEA;go_function=DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_214519.2;locus_tag=MT_RS00025;product=DNA topoisomerase (ATP-hydrolyzing) subunit B;protein_id=WP_003917863.1;transl_table=11"
